engine_no,MAX(recordings.operational_setting_1),MAX(recordings.operational_setting_2),MAX(recordings.operational_setting_3),MAX(recordings.sensor_measurement_1),MAX(recordings.sensor_measurement_10),MAX(recordings.sensor_measurement_11),MAX(recordings.sensor_measurement_12),MAX(recordings.sensor_measurement_13),MAX(recordings.sensor_measurement_14),MAX(recordings.sensor_measurement_15),MAX(recordings.sensor_measurement_16),MAX(recordings.sensor_measurement_17),MAX(recordings.sensor_measurement_18),MAX(recordings.sensor_measurement_19),MAX(recordings.sensor_measurement_2),MAX(recordings.sensor_measurement_20),MAX(recordings.sensor_measurement_21),MAX(recordings.sensor_measurement_3),MAX(recordings.sensor_measurement_4),MAX(recordings.sensor_measurement_5),MAX(recordings.sensor_measurement_6),MAX(recordings.sensor_measurement_7),MAX(recordings.sensor_measurement_8),MAX(recordings.sensor_measurement_9),MAX(recordings.cycles.MAX(recordings.operational_setting_1)),MAX(recordings.cycles.MAX(recordings.operational_setting_2)),MAX(recordings.cycles.MAX(recordings.operational_setting_3)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_1)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_10)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_11)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_12)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_13)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_14)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_15)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_16)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_17)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_18)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_19)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_2)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_20)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_21)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_3)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_4)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_5)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_6)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_7)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_8)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_9)),remaining_useful_life
1,42.0067,0.842,100.0,518.67,1.3,47.43,521.18,2388.06,8136.59,10.9141,0.03,392,2388,100.0,642.87,39.14,23.4578,1585.87,1404.99,14.62,21.59,553.15,2387.96,9053.86,42.0067,0.842,100.0,518.67,1.3,47.43,521.18,2388.06,8136.59,10.9141,0.03,392,2388,100.0,642.87,39.14,23.4578,1585.87,1404.99,14.62,21.59,553.15,2387.96,9053.86,220
2,42.0079,0.842,100.0,518.67,1.3,47.47,522.54,2388.14,8138.46,10.9057,0.03,393,2388,100.0,642.88,39.15,23.4692,1591.12,1406.87,14.62,21.61,555.0,2388.07,9056.19,42.0079,0.842,100.0,518.67,1.3,47.47,522.54,2388.14,8138.46,10.9141,0.03,393,2388,100.0,642.88,39.15,23.4692,1591.12,1406.87,14.62,21.61,555.0,2388.07,9056.19,198
3,42.0071,0.8418,100.0,518.67,1.3,47.36,524.69,2388.14,8147.3,10.8552,0.03,393,2388,100.0,642.87,39.36,23.6131,1589.88,1409.55,14.62,21.6,556.8,2388.14,9067.99,42.0079,0.842,100.0,518.67,1.3,47.47,524.69,2388.14,8147.3,10.9141,0.03,393,2388,100.0,642.88,39.36,23.6131,1591.12,1409.55,14.62,21.61,556.8,2388.14,9067.99,206
4,42.008,0.8419,100.0,518.67,1.3,47.54,522.3,2388.19,8146.95,10.9442,0.03,394,2388,100.0,642.95,39.11,23.4354,1596.26,1411.32,14.62,21.61,554.29,2388.1,9070.01,42.008,0.842,100.0,518.67,1.3,47.54,524.69,2388.19,8147.3,10.9442,0.03,394,2388,100.0,642.95,39.36,23.6131,1596.26,1411.32,14.62,21.61,556.8,2388.14,9070.01,173
5,42.0065,0.8417,100.0,518.67,1.3,47.72,521.43,2388.24,8131.69,10.9454,0.03,395,2388,100.0,643.51,38.96,23.406,1598.72,1417.79,14.62,21.61,554.14,2388.21,9056.14,42.008,0.842,100.0,518.67,1.3,47.72,524.69,2388.24,8147.3,10.9454,0.03,395,2388,100.0,643.51,39.36,23.6131,1598.72,1417.79,14.62,21.61,556.8,2388.21,9070.01,92
6,42.0077,0.8419,100.0,518.67,1.3,47.28,522.62,2388.11,8141.54,10.8964,0.03,393,2388,100.0,642.22,39.24,23.4679,1587.64,1404.57,14.62,21.58,554.44,2388.03,9063.62,42.008,0.842,100.0,518.67,1.3,47.72,524.69,2388.24,8147.3,10.9454,0.03,395,2388,100.0,643.51,39.36,23.6131,1598.72,1417.79,14.62,21.61,556.8,2388.21,9070.01,230
7,42.0078,0.842,100.0,518.67,1.3,47.93,521.84,2388.26,8133.76,10.9516,0.03,395,2388,100.0,643.45,38.99,23.3742,1600.27,1417.01,14.62,21.61,553.68,2388.2,9055.63,42.008,0.842,100.0,518.67,1.3,47.93,524.69,2388.26,8147.3,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,556.8,2388.21,9070.01,120
8,42.0079,0.842,100.0,518.67,1.3,47.45,522.9,2388.18,8136.93,10.9067,0.03,394,2388,100.0,642.78,39.15,23.4885,1590.37,1413.08,14.62,21.61,554.76,2388.12,9053.58,42.008,0.842,100.0,518.67,1.3,47.93,524.69,2388.26,8147.3,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,556.8,2388.21,9070.01,129
9,42.0077,0.8419,100.0,518.67,1.3,47.51,523.95,2388.12,8145.9,10.8598,0.03,392,2388,100.0,642.65,39.24,23.5392,1585.77,1402.04,14.62,21.61,556.31,2388.07,9064.55,42.008,0.842,100.0,518.67,1.3,47.93,524.69,2388.26,8147.3,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,556.8,2388.21,9070.01,233
10,42.0073,0.8418,100.0,518.67,1.3,47.38,521.04,2388.07,8135.89,10.8978,0.03,392,2388,100.0,642.45,39.11,23.4584,1588.23,1407.07,14.62,21.58,553.49,2387.98,9049.97,42.008,0.842,100.0,518.67,1.3,47.93,524.69,2388.26,8147.3,10.9516,0.03,395,2388,100.0,643.51,39.36,23.6131,1600.27,1417.79,14.62,21.61,556.8,2388.21,9070.01,253
